artist,minutes,plays
Travis Scott,1566.6315166666666,771
NXCRE,1182.05075,352
Hans Zimmer,705.41265,376
,627.97465,348
NCTS,510.65416666666664,380
B Praak,476.29788333333335,112
Imagine Dragons,432.61826666666667,186
Nordgroove,363.19988333333333,121
Diljit Dosanjh,359.91218333333336,171
Pritam,358.6739166666667,190
A.R. Rahman,337.7443333333333,163
Achint,263.3784166666667,84
Kanye West,232.77191666666667,100
יגל אושרי,231.31341666666665,91
Eminem,221.67308333333332,77
Eyal Golan,216.55531666666667,105
Ennja,215.69205,82
The Weeknd,206.32103333333333,106
Fabolous,203.70105,143
Alok,200.59265,95
Arijit Singh,196.8619,103
Village People,188.61615,51
Amaal Mallik,172.1921,50
Alexandre Desplat,163.86506666666668,78
Vishal Dadlani,154.67061666666666,51
Yo Yo Honey Singh,140.70963333333333,69
Kendrick Lamar,138.04491666666667,65
Future,137.89433333333332,56
ceZk,126.43151666666667,69
pandora.,123.26876666666666,96
Umbra,122.77261666666666,71
Drake,120.17261666666667,56
21 Savage,112.92123333333333,51
Joel Sunny,110.33001666666667,67
Salim Merchant,110.29233333333333,24
Ghost,108.25678333333333,53
DJ Johnrey,106.41583333333334,91
Imran Khan,104.94896666666666,42
TommyMuzzic,104.9228,49
KOLIDESCOPES,103.48753333333333,32
Adele,102.0923,26
Shankar-Ehsaan-Loy,101.12995,84
Evgeny Bardyuzha,96.9764,63
Metro Boomin,91.347,67
Hozier,80.5796,46
MVSTERIOUS,76.17518333333334,52
Avicii,75.14563333333334,45
Don Toliver,74.3656,60
Farruko,72.75473333333333,20
remorse,72.20656666666666,54
Jewish Anthem Ensemble,69.61051666666667,66
VØJ,67.85551666666667,38
M83,64.8533,39
Majestic,64.68225,48
Shankar Mahadevan,63.36415,30
Lil Uzi Vert,62.1563,35
John Lennon,60.3257,22
Survivor,60.30036666666667,30
Southside,59.0696,38
Ben E. King,57.34523333333333,28
Foster The People,56.880433333333336,23
Chestbrah,56.564083333333336,36
Alan Walker,56.048316666666665,57
Halsey,55.563433333333336,25
Sonu Worldwide,54.701683333333335,36
Ka$tro,53.7325,56
RUNAGROUND,52.0868,28
AURORA,52.01403333333333,20
rhianne,50.980466666666665,22
Rob $tone,48.9575,21
OneRepublic,48.303583333333336,23
Alphaville,47.3961,29
Twenty One Pilots,46.146233333333335,24
Rae Sremmurd,44.38713333333333,21
Post Malone,43.6131,35
G-Eazy,43.22776666666667,15
George Gershwin,43.22026666666667,10
Faheem Abdullah,42.17075,20
Unknown Artist,41.707,10
¥$,40.956133333333334,30
Young Thug,40.09401666666667,29
Esa Mighty,39.04573333333333,18
Badshah,37.66898333333334,18
Shreya Ghoshal,37.573033333333335,21
Lil Baby,37.09315,25
Bruno Mars,36.71471666666667,18
